~	〜
pj	ぷん
he	へ
be	べ
pe	ぺ
hw	へい
bw	べい
pw	ぺい
hd	へん
bd	べん
pd	ぺん
ho	ほ
bo	ぼ
po	ぽ
hp	ほう
bp	ぼう
pp	ぽう
hl	ほん
bl	ぼん
pf	ぽん
ma	ま
mq	まい
ms	ます
mt	また
mr	まる
mz	まん
mi	み
mge	みぇ
mgw	みぇい
mgd	みぇん
mga	みゃ
mgq	みゃい
mgn	みゃん
mgz	みゃん
mgu	みゅ
mgh	みゅう
mv	みゅう
mgj	みゅん
mgo	みょ
mgp	みょう
mx	みょう
mgl	みょん
mk	みん
mf	む
mh	むう
mj	むん
me	め
mw	めい
md	めん
mo	も
mp	もう
mn	もの
ml	もん
lya	ゃ
ya	や
yq	やい
yz	やん
lyu	ゅ
yf	ゆ
yh	ゆう
yj	ゆん
lyo	ょ
yo	よ
yp	よう
yr	よる
yl	よん
ra	ら
rq	らい
rr	られ
rn	らん
ri	り
rye	りぇ
ryw	りぇい
ryd	りぇん
rya	りゃ
ryq	りゃい
ryz	りゃん
ryu	りゅ
rv	りゅう
ryh	りゅう
ryj	りゅん
ryo	りょ
rx	りょう
ryp	りょう
ryl	りょん
rk	りん
ru	る
rh	るう
rj	るん
re	れ
rw	れい
rd	れん
ro	ろ
rp	ろう
rl	ろん
lwa	ゎ
wa	わ
wf	わい
wt	わた
wr	われ
wn	わん
whi	ゐ
whe	ゑ
wo	を
nn	ん
q	ん
bu	ぶ
